lambda,edge_recovery_rate,plot_paths
0.1,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.100.png
0.10689655172413794,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.107.png
0.11379310344827587,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.114.png
0.1206896551724138,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.121.png
0.12758620689655173,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.128.png
0.13448275862068965,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.134.png
0.1413793103448276,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.141.png
0.1482758620689655,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.148.png
0.15517241379310345,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.155.png
0.16206896551724137,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.162.png
0.16896551724137931,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.169.png
0.17586206896551723,0.896551724137931,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.176.png
0.18275862068965515,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.183.png
0.1896551724137931,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.190.png
0.19655172413793104,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.197.png
0.20344827586206896,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.203.png
0.21034482758620687,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.210.png
0.21724137931034482,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.217.png
0.22413793103448276,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.224.png
0.23103448275862068,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.231.png
0.2379310344827586,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.238.png
0.24482758620689654,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.245.png
0.25172413793103443,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.252.png
0.2586206896551724,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.259.png
0.2655172413793103,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.266.png
0.27241379310344827,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.272.png
0.2793103448275862,0.9310344827586207,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.279.png
0.28620689655172415,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.286.png
0.29310344827586204,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.293.png
0.3,0.9137931034482759,experiment_logs/n_30_scale_1.0_d3\sparsity_lambda_0.300.png
